Date : 2022-12-30 21:56:24
Directory : /Users/juanma/development/flutter/release-untitled-startup/untitled_server
Total : 194 files,  19966 codes, 754 comments, 1653 blanks, all 22373 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        100 |     10,200 |        101 |         35 |     10,336 |
| TypeScript         |         89 |      6,209 |        646 |      1,064 |      7,919 |
| Log                |          1 |      3,377 |          0 |        553 |      3,930 |
| HTML               |          1 |         74 |          3 |          0 |         77 |
| JSON               |          2 |         69 |          3 |          1 |         73 |
| JSON with Comments |          1 |         37 |          1 |          0 |         38 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        194 |     19,966 |        754 |      1,653 |     22,373 |
| dist                                                                                                                             |        100 |     10,200 |        101 |         35 |     10,336 |
| dist/assets                                                                                                                      |          1 |      1,500 |          2 |          0 |      1,502 |
| dist/assets/images                                                                                                               |          1 |      1,500 |          2 |          0 |      1,502 |
| dist/entities                                                                                                                    |         30 |      2,420 |         30 |          0 |      2,450 |
| dist/middleware                                                                                                                  |          1 |         21 |          1 |          0 |         22 |
| dist/migrations                                                                                                                  |          2 |        254 |          2 |          0 |        256 |
| dist/resolvers                                                                                                                   |          9 |      2,615 |          9 |         35 |      2,659 |
| dist/subscribers                                                                                                                 |         14 |      1,231 |         14 |          0 |      1,245 |
| dist/utils                                                                                                                       |         41 |      2,058 |         41 |          0 |      2,099 |
| dist/utils/aws                                                                                                                   |          6 |        205 |          6 |          0 |        211 |
| dist/utils/comment                                                                                                               |          2 |        158 |          2 |          0 |        160 |
| dist/utils/cron                                                                                                                  |          1 |         92 |          1 |          0 |         93 |
| dist/utils/global                                                                                                                |          7 |        235 |          7 |          0 |        242 |
| dist/utils/like                                                                                                                  |          3 |         48 |          3 |          0 |         51 |
| dist/utils/main                                                                                                                  |          1 |         62 |          1 |          0 |         63 |
| dist/utils/notification                                                                                                          |          2 |         30 |          2 |          0 |         32 |
| dist/utils/post                                                                                                                  |          4 |        202 |          4 |          0 |        206 |
| dist/utils/subscriberUtils                                                                                                       |          1 |         73 |          1 |          0 |         74 |
| dist/utils/user                                                                                                                  |         11 |        766 |         11 |          0 |        777 |
| dist/utils/videogameGenre                                                                                                        |          2 |        148 |          2 |          0 |        150 |
| src                                                                                                                              |         90 |      6,283 |        649 |      1,064 |      7,996 |
| src/entities                                                                                                                     |         30 |      1,394 |         29 |        301 |      1,724 |
| src/middleware                                                                                                                   |          1 |         17 |          0 |          7 |         24 |
| src/migrations                                                                                                                   |          2 |        218 |          0 |         10 |        228 |
| src/resolvers                                                                                                                    |          7 |      2,191 |        244 |        344 |      2,779 |
| src/subscribers                                                                                                                  |         12 |        927 |        210 |        119 |      1,256 |
| src/utils                                                                                                                        |         35 |      1,352 |        156 |        268 |      1,776 |
| src/utils/aws                                                                                                                    |          3 |         73 |         21 |         23 |        117 |
| src/utils/comment                                                                                                                |          2 |         84 |          0 |         24 |        108 |
| src/utils/cron                                                                                                                   |          1 |         82 |          0 |          2 |         84 |
| src/utils/global                                                                                                                 |          6 |        124 |          8 |         28 |        160 |
| src/utils/like                                                                                                                   |          2 |         32 |         86 |         16 |        134 |
| src/utils/main                                                                                                                   |          1 |         47 |          1 |         15 |         63 |
| src/utils/notification                                                                                                           |          1 |          9 |          0 |          3 |         12 |
| src/utils/post                                                                                                                   |          4 |        114 |          3 |         22 |        139 |
| src/utils/subscriberUtils                                                                                                        |          1 |         68 |          6 |          3 |         77 |
| src/utils/user                                                                                                                   |         11 |        555 |         29 |        118 |        702 |
| src/utils/videogameGenre                                                                                                         |          2 |        128 |          2 |         13 |        143 |
| src/views                                                                                                                        |          1 |         74 |          3 |          0 |         77 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                         | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/assets/images/clivyLogoBytes.js                  | JavaScript         |      1,500 |          2 |          0 |      1,502 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/CaptionTagNotification.js               | JavaScript         |         78 |          1 |          0 |         79 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/CaptionUserTags.js                      | JavaScript         |         56 |          1 |          0 |         57 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/CommentLike.js                          | JavaScript         |         56 |          1 |          0 |         57 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/CommentLikeNotification.js              | JavaScript         |         78 |          1 |          0 |         79 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/CommentNotification.js                  | JavaScript         |         78 |          1 |          0 |         79 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/CommentTagNotification.js               | JavaScript         |         78 |          1 |          0 |         79 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/CommentUserTags.js                      | JavaScript         |         61 |          1 |          0 |         62 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/Comments.js                             | JavaScript         |        121 |          1 |          0 |        122 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/DeviceToken.js                          | JavaScript         |         52 |          1 |          0 |         53 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/Follow.js                               | JavaScript         |         53 |          1 |          0 |         54 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/FollowNotification.js                   | JavaScript         |         77 |          1 |          0 |         78 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/Like.js                                 | JavaScript         |         56 |          1 |          0 |         57 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/LikeNotification.js                     | JavaScript         |         78 |          1 |          0 |         79 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/Notification.js                         | JavaScript         |        125 |          1 |          0 |        126 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/Post.js                                 | JavaScript         |        166 |          1 |          0 |        167 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/PostView.js                             | JavaScript         |         54 |          1 |          0 |         55 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/Reply.js                                | JavaScript         |        115 |          1 |          0 |        116 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/ReplyLike.js                            | JavaScript         |         56 |          1 |          0 |         57 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/ReplyLikeNotification.js                | JavaScript         |         78 |          1 |          0 |         79 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/ReplyNotification.js                    | JavaScript         |         78 |          1 |          0 |         79 |
