"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Log", "TypeScript", "HTML", "comment", "blank", "total"
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/createEndpoint.js", "JavaScript", 29, 0, 0, 0, 0, 0, 1, 0, 30
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/createPlatformEndpoint.js", "JavaScript", 28, 0, 0, 0, 0, 0, 1, 0, 29
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/publishNotification.js", "JavaScript", 37, 0, 0, 0, 0, 0, 1, 0, 38
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/uploadToBucket.js", "JavaScript", 38, 0, 0, 0, 0, 0, 1, 0, 39
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/cloudfrontKeys.js", "JavaScript", 39, 0, 0, 0, 0, 0, 1, 0, 40
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/comment/commentInput.js", "JavaScript", 109, 0, 0, 0, 0, 0, 1, 0, 110
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/comment/commentUserTagsDataLoader.js", "JavaScript", 49, 0, 0, 0, 0, 0, 1, 0, 50
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/cron/cronDeviceTokenFunc.js", "JavaScript", 92, 0, 0, 0, 0, 0, 1, 0, 93
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/createTokens.js", "JavaScript", 36, 0, 0, 0, 0, 0, 1, 0, 37
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/elasticClient.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 0, 8
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/fileType.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/getFileBuffer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 1, 0, 32
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/globalInput.js", "JavaScript", 83, 0, 0, 0, 0, 0, 1, 0, 84
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/sendEmail.js", "JavaScript", 43, 0, 0, 0, 0, 0, 1, 0, 44
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/uploadImage.js", "JavaScript", 35, 0, 0, 0, 0, 0, 1, 0, 36
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/like/fetchLikesDataLoader.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/like/likeDataLoader.js", "JavaScript", 46, 0, 0, 0, 0, 0, 1, 0, 47
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/like/likeProcess.js", "JavaScript", 2, 0, 0, 0, 0, 0, 1, 0, 3
